,Ticker,Nome
42,BRCR11,BTG PACTUAL CORPORATE OFFICE
43,HSLG11,HSI LOGÍSTICA
44,URPR11,URCA PRIME RENDA
45,RBRR11,RBR RENDIMENTO HIGH GRADE
46,HABT11,HABITAT II
47,VIUR11,VINCI IMÓVEIS URBANOS
48,BDIV11,BTG PACTUAL INFRAESTRUTURA DIVIDENDOS
49,GTWR11,GREEN TOWERS
50,FGAA11,FG AGRO FDO DE INVEST
51,HTMX11,FII HOTEL MAXINVEST
52,JSRE11,JS REAL ESTATE MULTIGESTÃO - FII
53,XPSF11,XP SELECTION FUNDO DE FUNDOS
54,RBRF11,RBR ALPHA MULTIESTRATÉGIA REAL ESTATE
55,VRTA11,FATOR VERITA
56,RZAK11,RIZA AKIN
57,MCCI11,MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS
58,VSLH11,VERSALHES RECEBÍVEIS IMOBILIÁRIOS
59,MFII11,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO
60,CACR11,CARTESIA RECEBÍVEIS IMOBILIÁRIOS
61,CPTR11,CAPITANIA AGRO STRATEGIES
62,RBVA11,RIO BRAVO RENDA VAREJO
63,HFOF11,HEDGE TOP
64,JURO11,Sparta Infra FIC FI-Infra
65,SARE11,SANTANDER RENDA DE ALUGUÉIS
66,RZAT11,RIZA ARCTIUM REAL ESTATE
67,RBRY11,RBR PRIVATE CRÉDITO IMOBILIÁRIO
68,NEWL11,NEWPORT LOGÍSTICA
69,BDIF11,FUNDO EM INFRAESTRUTURA BTG PACTUAL DÍVIDA INFRA
70,CVBI11,VBI CRI
71,GAME11,GUARDIAN MULTIESTRATÉGIA I
72,BCRI11,BANESTES RECEBÍVEIS IMOBILIÁRIOS
73,BTAL11,BTG PACTUAL AGRO LOGÍSTICA
74,XPPR11,XP PROPERTIES
75,XPIN11,XP INDUSTRIAL
76,XPCI11,XP CREDITO IMOBILIÁRIO
77,PORD11,POLO RECEBÍVEIS IMOBILIÁRIOS II
78,VGIP11,VALORA CRI ÍNDICE DE PREÇO
79,DCRA11,DEVANT FUNDO INVEST NAS CAD PROD AGROIND
80,TORD11,TORDESILHAS EI
81,RBRP11,RBR PROPERTIES
82,EGAF11,ECOAGRO I FDO INV CADEIAS PROD AGROIND
83,AFHI11,AF INVEST CRI
84,AGRX11,EXES ARAGUAIA
85,TEPP11,TELLUS PROPERTIES
86,AAZQ11,AZ QUEST FIAGRO
87,FIIB11,INDUSTRIAL DO BRASIL
88,RECT11,FII REC RENDA IMOBILIÁRIA
89,OIAG11,OURINVEST INNOVATION
90,BBGO11,BB FUNDO DE INVEST DE CRÉDITO FIAGRO
91,BLMG11,BLUEMACAW LOGÍSTICA
92,CYCR11,CYRELA CRÉDITO
93,ARRI11,ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS
