,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 17/09/2024,"-0,07","-0,02","0,25","2,54","0,07","R$ 114,11 M","0,00%",236
1,30/06/2024,"-0,09","-0,03","0,30","3,15","0,08","R$ 141,22 M","0,00%",236
2,31/03/2024,"-0,10","-0,03","0,25","-6,66","0,09","R$ 151,14 M","0,00%",236
3,31/12/2023,"-0,11","-0,04","0,16","-1,26","0,09","R$ 157,12 M","0,00%",236
4,30/09/2023,"-0,06","-0,05","0,17","-1,10","0,10","R$ 184,47 M","0,00%",236
5,30/06/2023,"-0,74","-0,63","1,70","-13,72","1,09","R$ 2,30 B","0,00%",236
6,31/03/2023,"-0,06","-0,06","0,11","-2,03","0,08","R$ 176,22 M","0,00%",236
7,31/12/2022,"-0,07","-0,07","0,10","0,90","0,10","R$ 195,75 M","0,00%",236
8,30/09/2022,"-0,30","-0,16","0,09","0,99","0,11","R$ 266,07 M","0,00%",236
9,30/06/2022,"-0,39","-0,29","0,11","2,07","0,13","R$ 387,16 M","0,00%",236
10,31/03/2022,"-1,57","-0,47","0,09","2,03","0,13","R$ 360,69 M","0,00%",236
11,31/12/2021,"-0,41","-0,34","0,07","10,11","0,11","R$ 328,57 M","0,00%",236
12,30/09/2021,"-0,98","-0,58","0,09","19,59","0,13","R$ 451,40 M","0,00%",236
13,30/06/2021,"-3,04","-1,70","0,13","-10,31","0,18","R$ 635,00 M","0,00%",236
14,31/03/2021,"-1,47","-1,71","0,22","10,30","0,28","R$ 1,02 B","0,00%",236
15,31/12/2020,"-0,44","-1,91","0,09","2,84","0,09","R$ 378,48 M","0,00%",236
16,30/09/2020,"-0,33","-1,15","0,10","4,41","0,10","R$ 412,77 M","0,00%",236
17,30/06/2020,"-0,60","-2,81","0,12","1,40","0,15","R$ 559,91 M","0,00%",236
18,31/03/2020,"-0,72","6,29","0,08","1,47","0,10","R$ 400,18 M","0,00%",236
19,31/12/2019,"-24,15","0,97","0,12","2,64","0,16","R$ 605,48 M","0,00%",236
20,30/09/2019,"5,28","1,50","0,23","6,95","0,27","R$ 1,25 B","0,00%",236
21,30/06/2019,"11,71","1,32","0,16","3,11","0,22","R$ 909,72 M","0,00%",236
22,31/03/2019,"-3,25","1,78","0,20","3,45","0,24","R$ 1,02 B","0,00%",236
23,31/12/2018,"-3,08","1,65","0,21","3,81","0,22","R$ 997,01 M","0,00%",236
24,30/09/2018,"-2,24","1,90","0,23","2,02","0,24","R$ 1,06 B","0,00%",236
