,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 24/09/2024,"-0,68","0,14","0,31","-0,63","0,05","R$ 46,99 M","0,00%",245
1,30/09/2023,"-0,88","0,19","0,40","-0,82","0,07","R$ 49,12 M","0,00%",245
2,30/06/2023,"-1,52","0,22","0,33","2,15","0,10","R$ 63,66 M","0,00%",245
3,31/03/2023,"-2,69","0,20","0,21","0,81","0,10","R$ 64,40 M","0,00%",245
4,31/12/2022,"7,42","0,15","0,11","1,00","0,07","R$ 77,86 M","14,47%",245
5,30/09/2022,"-2,07","0,25","0,15","1,79","0,12","R$ 96,34 M","9,33%",245
6,30/06/2022,"-14,45","0,31","0,16","19,88","0,14","R$ 117,57 M","7,46%",245
7,31/03/2022,"5,33","0,37","0,18","-24,28","0,17","R$ 139,45 M","5,97%",245
8,31/12/2021,"5,13","0,46","0,23","3,06","0,21","R$ 170,70 M","0,00%",245
9,30/09/2021,"5,04","0,53","0,28","6,68","0,25","R$ 193,46 M","0,00%",245
10,30/06/2021,"15,00","0,86","0,45","4,26","0,36","R$ 268,10 M","0,00%",245
11,31/03/2021,"-56,75","0,81","0,47","3,86","0,33","R$ 250,11 M","3,20%",245
12,31/12/2020,"-56,61","0,75","0,45","12,71","0,33","R$ 238,07 M","3,51%",245
13,30/09/2020,"-13.912,38","0,78","0,49","3,83","0,35","R$ 241,62 M","3,35%",245
14,30/06/2020,"105,36","0,93","0,60","5,53","0,41","R$ 282,83 M","2,84%",245
15,31/03/2020,"16,90","0,86","0,54","6,12","0,39","R$ 238,21 M","0,00%",245
16,31/12/2019,"17,68","0,65","0,41","3,16","0,31","R$ 179,85 M","14,73%",245
17,30/09/2019,"3,65","0,78","0,48","-10,16","0,37","R$ 197,76 M","13,67%",245
18,30/06/2019,"3,28","0,73","0,44","-2,29","0,33","R$ 191,05 M","14,96%",245
19,31/03/2019,"3,45","0,78","0,48","-1,79","0,35","R$ 190,66 M","14,17%",245
20,31/12/2018,"3,17","0,82","0,52","-2,05","0,36","R$ 189,88 M","78,97%",245
21,30/09/2018,"8,79","1,13","0,54","-3,85","0,45","R$ 178,61 M","77,31%",245
22,30/06/2018,"6,84","1,04","0,50","56,88","0,39","R$ 161,11 M","86,06%",245
23,31/03/2018,"6,48","0,64","0,40","7,73","0,33","R$ 251,28 M","6,01%",245
24,31/12/2017,"7,59","0,58","0,36","5,06","0,29","R$ 156,63 M","1,71%",245
25,30/09/2017,"9,62","0,56","0,35","4,85","0,30","R$ 92,88 M","0,00%",245
26,30/06/2017,"28,03","0,45","0,28","2,67","0,24","R$ 97,20 M","0,00%",245
27,31/03/2017,"-90,64","0,42","0,28","3,02","0,23","R$ 100,38 M","0,00%",245
28,31/12/2016,"-28,62","0,37","0,24","4,84","0,21","R$ 82,78 M","0,00%",245
29,30/09/2016,"-5,09","0,30","0,21","48,45","0,18","R$ 67,05 M","0,00%",245
30,30/06/2016,"-3,73","0,32","0,24","-3,57","0,18","R$ 71,73 M","0,00%",245
31,31/03/2016,"-3,63","0,31","0,24","-6,69","0,18","R$ 76,67 M","0,00%",245
32,31/12/2015,"-3,73","0,31","0,23","-11,60","0,19","R$ 90,01 M","0,64%",245
33,30/09/2015,"-5,17","0,27","0,19","-11,73","0,16","R$ 80,21 M","0,72%",245
34,30/06/2015,"-15,39","0,30","0,20","-12,35","0,18","R$ 70,68 M","0,62%",245
35,31/03/2015,"-59,88","0,37","0,25","-4,70","0,23","R$ 97,56 M","0,50%",245
36,31/12/2014,"135,23","0,48","0,32","-4,56","0,29","R$ 95,45 M","12,31%",245
37,30/09/2014,"23,15","0,52","0,36","-12,16","0,32","R$ 126,32 M","14,75%",245
38,30/06/2014,"15,53","0,60","0,42","-8,56","0,37","R$ 147,90 M","12,91%",245
39,31/03/2014,"6,79","0,72","0,51","-14,37","0,46","R$ 174,05 M","10,77%",245
40,31/12/2013,"5,66","0,74","0,52","-19,15","0,48","R$ 194,72 M","8,33%",245
41,30/09/2013,"5,82","0,78","0,57","-313,03","0,54","R$ 210,46 M","7,29%",245
42,30/06/2013,"5,47","0,83","0,60","10,31","0,60","R$ 213,44 M","6,98%",245
43,31/03/2013,"7,59","0,92","0,63","6,15","0,67","R$ 227,74 M","6,77%",245
44,31/12/2012,"6,75","0,88","0,58","6,66","0,67","R$ 196,74 M","6,88%",245
45,30/09/2012,"6,30","0,79","0,52","6,03","0,58","R$ 184,31 M","7,36%",245
46,30/06/2012,"5,03","0,63","0,41","7,66","0,45","R$ 137,92 M","9,66%",245
47,31/03/2012,"6,57","0,67","0,42","21,62","0,46","R$ 138,11 M","9,30%",245
48,31/12/2011,"5,53","0,61","0,36","21,07","0,39","R$ 135,56 M","8,37%",245
49,30/09/2011,"4,21","0,57","0,34","1.120,37","0,38","R$ 122,02 M","8,84%",245
50,30/06/2011,"4,27","0,53","0,31","9,70","0,34","R$ 129,17 M","9,94%",245
51,31/03/2011,"4,14","0,55","0,34","5,82","0,37","R$ 112,19 M","9,57%",245
52,31/12/2010,"4,86","0,55","0,35","4,93","0,36","R$ 112,33 M","8,00%",245
53,30/09/2010,"6,76","0,58","0,38","4,54","0,40","R$ 106,36 M","8,13%",245
54,30/06/2010,"6,21","0,61","0,41","5,75","0,43","R$ 118,28 M","7,86%",245
55,31/03/2010,"6,02","0,58","0,40","9,42","0,41","R$ 103,19 M","8,42%",245
56,31/12/2009,"6,56","0,67","0,46","-169,43","0,48","R$ 122,25 M","13,23%",245
57,30/09/2009,"4,97","0,72","0,50",,"0,52","R$ 129,81 M","12,83%",245
58,30/06/2009,"4,32","0,77","0,50",,"0,54","R$ 137,55 M","12,46%",245
59,31/03/2009,"3,54","0,71","0,45",,"0,49","R$ 121,90 M","13,80%",245
60,31/12/2008,"2,73","0,53","0,32","3,64","0,36","R$ 88,47 M","8,77%",245
61,30/09/2008,"2,54","0,34","0,21",,"0,23","R$ 55,08 M","4,75%",245
62,30/06/2008,"9,87","0,78","0,47",,"0,49","R$ 76,10 M","2,27%",245
63,31/03/2008,"10,03","0,49","0,29",,"0,30","R$ 63,17 M","3,77%",245
64,31/12/2007,"14,43","0,52","0,31",,"0,32","R$ 65,17 M","4,12%",245
65,30/09/2007,"-97,77","0,56","0,33",,"0,34","R$ 78,66 M","3,84%",245
66,30/06/2007,"-35,95","0,77","0,45",,"0,45","R$ 132,86 M","2,81%",245
67,31/03/2007,"-118,52","1,06","0,63",,"0,60","R$ 134,16 M","2,06%",245
68,31/12/2006,"23,80","1,01","0,60",,"0,56","R$ 152,89 M","7,90%",245
69,30/09/2006,"8,32","0,81","0,52",,"0,48","R$ 117,90 M","9,48%",245
70,30/06/2006,"4,55","0,77","0,51",,"0,46","R$ 132,98 M","9,84%",245
71,31/03/2006,"4,22","1,04","0,67",,"0,64","R$ 156,94 M","13,27%",245
72,31/12/2005,"4,65","1,31","0,80",,"0,77","R$ 157,82 M","4,89%",245
73,30/09/2005,"3,62","1,23","0,72",,"0,72","R$ 164,66 M","5,25%",245
74,30/06/2005,"1,58","0,58","0,31",,"0,36","R$ 161,77 M","11,64%",245
75,31/03/2005,"1,39","0,49","0,23",,"0,28","R$ 55,92 M","0,00%",245
76,31/12/2004,"2,73","0,54","0,25",,"0,27","R$ 55,92 M","0,00%",245
77,30/09/2004,"-1,34","0,34","0,14",,"0,15","R$ 54,68 M","0,00%",245
78,30/06/2004,"-0,24","0,20","0,04",,"0,04","R$ 17,26 M","0,00%",245
79,31/03/2004,"-0,22","0,23","0,04",,"0,05","R$ 19,82 M","0,00%",245
80,31/12/2003,"-0,25","0,19","0,05",,"0,05","R$ 19,82 M","0,00%",245
81,30/09/2003,"-7,14","0,20","0,08",,"0,07","R$ 22,98 M","0,00%",245
82,30/06/2003,"-2,07","0,19","0,09",,"0,07","R$ 22,98 M","0,00%",245
83,31/03/2003,"-1,02","0,20","0,09",,"0,07","R$ 22,98 M","0,00%",245
84,31/12/2002,"-1,09","0,19","0,10",,"0,08","R$ 22,98 M","0,00%",245
85,30/09/2002,"-0,63","0,16","0,09",,"0,06","R$ 21,62 M","0,00%",245
86,30/06/2002,"-0,90","0,16","0,10",,"0,07","R$ 22,26 M","0,00%",245
87,31/03/2002,"-3,90","0,33","0,23",,"0,15","R$ 30,07 M","0,00%",245
88,31/12/2001,"-6,42","0,35","0,24",,"0,17","R$ 31,22 M","0,00%",245
89,30/06/2001,"7,13","0,39","0,28",,"0,19","R$ 43,42 M","3,46%",245
90,31/03/2001,"5,47","0,39","0,24",,"0,18","R$ 39,41 M","5,42%",245
91,31/12/2000,"5,54","0,49","0,29",,"0,23","R$ 42,12 M","1,33%",245
92,30/09/2000,"6,19","0,47","0,28",,"0,22","R$ 41,51 M","1,38%",245
93,30/06/2000,"4,01","0,22","0,13",,"0,10","R$ 17,14 M","3,08%",245
94,31/03/2000,"4,48","0,17","0,10",,"0,09","R$ 15,43 M","3,92%",245
