,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
39,30/09/2014,"R$ 3,82 B","R$ 1,16 B","R$ 717,57 M","- R$ 250,65 M","R$ 968,23 M","R$ 398,34 M","R$ 1,88"
40,30/06/2014,"R$ 3,75 B","R$ 1,14 B","R$ 708,43 M","- R$ 256,50 M","R$ 964,93 M","R$ 398,51 M","R$ 1,88"
41,31/03/2014,"R$ 3,66 B","R$ 1,10 B","R$ 688,88 M","- R$ 259,50 M","R$ 948,39 M","R$ 401,34 M","R$ 1,89"
42,31/12/2013,"R$ 3,51 B","R$ 1,06 B","R$ 652,07 M","- R$ 264,46 M","R$ 916,53 M","R$ 384,34 M","R$ 1,81"
43,30/09/2013,"R$ 3,34 B","R$ 1,02 B","R$ 637,52 M","- R$ 269,31 M","R$ 906,83 M","R$ 380,42 M","R$ 1,80"
44,30/06/2013,"R$ 3,21 B","R$ 968,01 M","R$ 592,02 M","- R$ 300,36 M","R$ 892,38 M","R$ 349,77 M","R$ 1,65"
45,31/03/2013,"R$ 3,19 B","R$ 845,75 M","R$ 469,42 M","- R$ 413,51 M","R$ 882,93 M","R$ 257,05 M","R$ 1,27"
46,31/12/2012,"R$ 3,17 B","R$ 833,81 M","R$ 465,83 M","- R$ 409,86 M","R$ 875,68 M","R$ 240,94 M","R$ 1,19"
47,30/09/2012,"R$ 3,14 B","R$ 826,67 M","R$ 469,14 M","- R$ 398,47 M","R$ 867,61 M","R$ 233,58 M","R$ 1,16"
48,30/06/2012,"R$ 3,09 B","R$ 845,67 M","R$ 497,62 M","- R$ 362,39 M","R$ 860,00 M","R$ 237,43 M","R$ 1,18"
49,31/03/2012,"R$ 3,01 B","R$ 930,93 M","R$ 606,37 M","- R$ 238,69 M","R$ 845,07 M","R$ 300,74 M","R$ 1,49"
50,31/12/2011,"R$ 2,92 B","R$ 902,97 M","R$ 595,71 M","- R$ 225,59 M","R$ 821,29 M","R$ 291,64 M","R$ 1,45"
51,30/09/2011,"R$ 2,87 B","R$ 890,68 M","R$ 585,84 M","- R$ 209,29 M","R$ 795,13 M","R$ 284,43 M","R$ 1,41"
52,30/06/2011,"R$ 2,77 B","R$ 854,08 M","R$ 567,22 M","- R$ 195,46 M","R$ 762,67 M","R$ 285,97 M","R$ 1,42"
53,31/03/2011,"R$ 2,63 B","R$ 799,19 M","R$ 526,61 M","- R$ 190,53 M","R$ 717,13 M","R$ 269,92 M","R$ 1,34"
54,31/12/2010,"R$ 2,50 B","R$ 743,80 M","R$ 490,28 M","- R$ 183,02 M","R$ 673,30 M","R$ 255,89 M","R$ 1,27"
55,30/09/2010,"R$ 2,32 B","R$ 647,67 M","R$ 427,38 M",NA,NA,"R$ 220,92 M","R$ 1,10"
56,30/06/2010,"R$ 2,09 B","R$ 556,75 M","R$ 356,11 M",NA,NA,"R$ 176,88 M","R$ 0,88"
57,31/03/2010,"R$ 1,94 B","R$ 493,34 M","R$ 307,34 M",NA,NA,"R$ 144,74 M","R$ 0,72"
58,31/12/2009,"R$ 1,82 B","R$ 432,88 M","R$ 254,37 M",NA,NA,"R$ 102,03 M","R$ 0,51"
59,30/09/2009,"R$ 1,69 B","R$ 406,01 M","R$ 229,94 M",NA,NA,"R$ 76,29 M","R$ 0,38"
60,30/06/2009,"R$ 1,78 B","R$ 437,41 M","R$ 264,95 M",NA,NA,"R$ 91,11 M","R$ 0,45"
61,31/03/2009,"R$ 1,80 B","R$ 456,86 M","R$ 291,59 M",NA,NA,"R$ 110,50 M","R$ 0,55"
62,31/12/2008,"R$ 1,82 B","R$ 482,85 M","R$ 321,23 M",NA,NA,"R$ 136,52 M","R$ 0,68"
63,30/09/2008,"R$ 1,81 B","R$ 504,19 M","R$ 342,31 M",NA,NA,"R$ 172,93 M","R$ 0,86"
64,30/06/2008,"R$ 1,67 B","R$ 482,99 M","R$ 330,29 M",NA,NA,"R$ 177,71 M","R$ 0,88"
65,31/03/2008,"R$ 1,57 B","R$ 450,08 M","R$ 301,03 M",NA,NA,"R$ 161,75 M","R$ 0,80"
66,31/12/2007,"R$ 1,51 B","R$ 427,15 M","R$ 286,78 M",NA,NA,"R$ 156,99 M","R$ 0,78"
67,30/09/2007,"R$ 1,46 B","R$ 402,14 M","R$ 265,68 M",NA,NA,"R$ 147,34 M","R$ 0,73"
68,30/06/2007,"R$ 1,36 B","R$ 384,96 M","R$ 251,88 M",NA,NA,"R$ 142,42 M","R$ 0,71"
69,31/03/2007,"R$ 1,27 B","R$ 369,55 M","R$ 235,87 M",NA,NA,"R$ 136,52 M","R$ 2,03"
70,31/12/2006,"R$ 1,13 B","R$ 343,26 M","R$ 212,62 M",NA,NA,"R$ 118,41 M","R$ 1,76"
71,30/09/2006,"R$ 987,26 M","R$ 321,11 M","R$ 201,16 M",NA,NA,"R$ 110,51 M","R$ 1,64"
72,30/06/2006,"R$ 926,18 M","R$ 303,78 M","R$ 193,53 M",NA,NA,"R$ 92,19 M","R$ 1,37"
73,31/03/2006,"R$ 891,92 M","R$ 290,31 M","R$ 191,79 M",NA,NA,"R$ 86,39 M","R$ 1,36"
74,31/12/2005,"R$ 854,86 M","R$ 286,38 M","R$ 197,31 M",NA,NA,"R$ 96,72 M","R$ 1,53"
75,30/09/2005,"R$ 822,64 M","R$ 278,82 M","R$ 188,46 M",NA,NA,"R$ 96,71 M","R$ 1,55"
76,30/06/2005,"R$ 748,30 M","R$ 264,26 M","R$ 174,67 M",NA,NA,"R$ 107,52 M","R$ 1,72"
77,31/03/2005,"R$ 685,58 M","R$ 257,46 M","R$ 169,68 M",NA,NA,"R$ 112,85 M","R$ 1,84"
78,31/12/2004,"R$ 616,40 M","R$ 234,54 M","R$ 147,82 M",NA,NA,"R$ 102,34 M","R$ 6,66"
