,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
39,30/09/2014,"R$ 953,87 M","R$ 504,79 M","R$ 466,16 M","- R$ 8,08 M","R$ 474,24 M","R$ 502,20 M","R$ 3,42"
40,30/06/2014,"R$ 975,51 M","R$ 521,20 M","R$ 479,15 M","- R$ 5,61 M","R$ 484,76 M","R$ 516,75 M","R$ 3,52"
41,31/03/2014,"R$ 1,03 B","R$ 537,26 M","R$ 505,29 M","- R$ 4,29 M","R$ 509,57 M","R$ 530,72 M","R$ 3,62"
42,31/12/2013,"R$ 1,14 B","R$ 596,19 M","R$ 568,50 M","- R$ 3,62 M","R$ 572,13 M","R$ 585,99 M","R$ 3,99"
43,30/09/2013,"R$ 1,16 B","R$ 596,09 M","R$ 489,48 M","- R$ 3,49 M","R$ 492,96 M","R$ 510,66 M","R$ 3,48"
44,30/06/2013,"R$ 1,09 B","R$ 553,54 M","R$ 444,38 M","- R$ 3,39 M","R$ 447,77 M","R$ 465,05 M","R$ 3,17"
45,31/03/2013,"R$ 971,24 M","R$ 499,48 M","R$ 387,36 M","- R$ 3,14 M","R$ 390,50 M","R$ 408,63 M","R$ 2,79"
46,31/12/2012,"R$ 799,45 M","R$ 414,47 M","R$ 310,00 M","- R$ 2,14 M","R$ 312,14 M","R$ 336,17 M","R$ 2,29"
47,30/09/2012,"R$ 812,10 M","R$ 425,61 M","R$ 325,29 M","- R$ 1,95 M","R$ 327,24 M","R$ 347,56 M","R$ 2,37"
48,30/06/2012,"R$ 768,76 M","R$ 403,65 M","R$ 304,15 M","- R$ 2,65 M","R$ 306,80 M","R$ 330,11 M","R$ 2,25"
49,31/03/2012,"R$ 745,88 M","R$ 382,28 M","R$ 293,38 M","- R$ 2,62 M","R$ 296,00 M","R$ 325,92 M","R$ 2,22"
50,31/12/2011,"R$ 744,19 M","R$ 375,64 M","R$ 288,50 M","- R$ 2,55 M","R$ 291,05 M","R$ 328,97 M","R$ 2,24"
51,30/09/2011,"R$ 687,16 M","R$ 341,59 M","R$ 253,74 M","- R$ 2,40 M","R$ 256,14 M","R$ 296,19 M","R$ 2,02"
52,30/06/2011,"R$ 697,10 M","R$ 340,98 M","R$ 261,57 M","- R$ 1,55 M","R$ 263,12 M","R$ 298,03 M","R$ 2,03"
53,31/03/2011,"R$ 679,74 M","R$ 323,01 M","R$ 249,61 M","- R$ 1,31 M","R$ 250,91 M","R$ 278,70 M","R$ 1,90"
54,31/12/2010,"R$ 636,40 M","R$ 297,67 M","R$ 227,18 M","- R$ 1,04 M","R$ 228,21 M","R$ 243,73 M","R$ 1,66"
55,30/09/2010,"R$ 603,58 M","R$ 267,26 M","R$ 208,50 M",NA,NA,"R$ 215,55 M","R$ 1,47"
56,30/06/2010,"R$ 570,37 M","R$ 236,33 M","R$ 184,06 M",NA,NA,"R$ 187,96 M","R$ 1,28"
57,31/03/2010,"R$ 542,38 M","R$ 222,04 M","R$ 169,34 M",NA,NA,"R$ 169,85 M","R$ 1,16"
58,31/12/2009,"R$ 505,98 M","R$ 204,31 M","R$ 159,59 M",NA,NA,"R$ 162,93 M","R$ 1,11"
59,30/09/2009,"R$ 468,94 M","R$ 201,33 M","R$ 156,01 M",NA,NA,"R$ 165,31 M","R$ 1,13"
60,30/06/2009,"R$ 425,21 M","R$ 192,07 M","R$ 111,38 M",NA,NA,"R$ 127,91 M","R$ 0,87"
61,31/03/2009,"R$ 376,87 M","R$ 175,68 M","R$ 96,98 M",NA,NA,"R$ 118,59 M","R$ 0,81"
62,31/12/2008,"R$ 334,05 M","R$ 160,19 M","R$ 75,34 M",NA,NA,"R$ 102,16 M","R$ 0,70"
63,30/09/2008,"R$ 314,56 M","R$ 155,83 M","R$ 59,89 M",NA,NA,"R$ 88,90 M","R$ 0,61"
64,30/06/2008,"R$ 263,93 M","R$ 130,61 M","R$ 74,35 M",NA,NA,"R$ 107,03 M","R$ 0,72"
65,31/03/2008,"R$ 225,90 M","R$ 113,75 M","R$ 34,04 M",NA,NA,"R$ 59,48 M","R$ 0,40"
66,31/12/2007,"R$ 186,31 M","R$ 96,04 M","R$ 28,90 M",NA,NA,"R$ 45,92 M","R$ 0,31"
67,30/09/2007,"R$ 140,28 M","R$ 73,61 M","R$ 21,67 M",NA,NA,"R$ 31,00 M","R$ 0,21"
68,30/06/2007,"R$ 88,17 M","R$ 46,25 M","R$ 2,10 M",NA,NA,"R$ 1,11 M","R$ 0,01"
69,31/03/2007,"R$ 36,71 M","R$ 21,40 M","R$ 13,98 M",NA,NA,"R$ 15,56 M","R$ 0,16"
70,31/12/2006,"R$ 13,88 M","R$ 9,04 M","R$ 5,39 M",NA,NA,"R$ 6,74 M","R$ 0,04"
