,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 3,52 B","R$ 2,16 B","R$ 354,72 M","- R$ 310,66 M","R$ 665,38 M","R$ 314,98 M","R$ 0,33"
1,31/03/2024,"R$ 2,91 B","R$ 1,77 B","R$ 76,21 M","- R$ 307,31 M","R$ 383,52 M","R$ 139,25 M","R$ 0,14"
2,31/12/2023,"R$ 4,27 B","R$ 2,57 B","R$ 599,48 M","- R$ 293,51 M","R$ 892,99 M","R$ 526,89 M","R$ 0,55"
3,30/09/2023,"R$ 3,10 B","R$ 1,85 B","R$ 91,83 M","- R$ 276,07 M","R$ 367,90 M","R$ 172,90 M","R$ 0,18"
4,30/06/2023,"R$ 3,50 B","R$ 2,10 B","R$ 224,43 M","- R$ 260,10 M","R$ 484,53 M","R$ 229,70 M","R$ 0,24"
5,31/03/2023,"R$ 2,78 B","R$ 1,70 B","- R$ 26,66 M","- R$ 268,68 M","R$ 242,02 M","R$ 46,77 M","R$ 0,05"
6,31/12/2022,"R$ 4,01 B","R$ 2,41 B","R$ 627,92 M","- R$ 268,79 M","R$ 896,71 M","R$ 481,82 M","R$ 0,49"
7,30/09/2022,"R$ 3,02 B","R$ 1,78 B","R$ 201,00 M","- R$ 262,91 M","R$ 463,91 M","R$ 257,86 M","R$ 0,26"
8,30/06/2022,"R$ 3,63 B","R$ 2,20 B","R$ 434,64 M","- R$ 262,96 M","R$ 697,60 M","R$ 360,39 M","R$ 0,36"
9,31/03/2022,"R$ 2,61 B","R$ 1,59 B","R$ 143,84 M","- R$ 246,36 M","R$ 390,20 M","R$ 191,63 M","R$ 0,19"
10,31/12/2021,"R$ 3,88 B","R$ 2,27 B","R$ 518,96 M","- R$ 247,97 M","R$ 766,93 M","R$ 415,79 M","R$ 0,42"
11,30/09/2021,"R$ 2,63 B","R$ 1,52 B","R$ 207,75 M","- R$ 235,99 M","R$ 443,75 M","R$ 171,96 M","R$ 0,19"
12,30/06/2021,"R$ 2,49 B","R$ 1,47 B","R$ 260,59 M","- R$ 221,78 M","R$ 482,37 M","R$ 193,07 M","R$ 0,21"
13,31/03/2021,"R$ 1,58 B","R$ 923,29 M","- R$ 173,36 M","- R$ 210,33 M","R$ 36,97 M","- R$ 147,70 M","- R$ 0,19"
14,31/12/2020,"R$ 3,07 B","R$ 1,72 B","R$ 530,90 M","- R$ 204,93 M","R$ 735,83 M","R$ 353,95 M","R$ 0,44"
15,30/09/2020,"R$ 1,79 B","R$ 920,68 M","- R$ 126,61 M","- R$ 206,24 M","R$ 79,62 M","- R$ 82,87 M","- R$ 0,10"
16,30/06/2020,"R$ 808,51 M","R$ 503,86 M","R$ 420,26 M","- R$ 181,33 M","R$ 610,56 M","R$ 818,05 M","R$ 1,03"
17,31/03/2020,"R$ 1,86 B","R$ 1,17 B","R$ 23,37 M","- R$ 198,54 M","R$ 221,91 M","R$ 10,42 M","R$ 0,01"
18,31/12/2019,"R$ 3,18 B","R$ 1,97 B","R$ 764,02 M","- R$ 177,42 M","R$ 941,44 M","R$ 513,10 M","R$ 0,64"
19,30/09/2019,"R$ 2,23 B","R$ 1,34 B","R$ 276,54 M","- R$ 189,75 M","R$ 466,29 M","R$ 189,25 M","R$ 0,24"
20,30/06/2019,"R$ 2,29 B","R$ 1,41 B","R$ 364,69 M","- R$ 182,80 M","R$ 547,49 M","R$ 235,15 M","R$ 0,30"
21,31/03/2019,"R$ 1,89 B","R$ 1,15 B","R$ 238,40 M","- R$ 180,12 M","R$ 418,53 M","R$ 161,60 M","R$ 0,22"
22,31/12/2018,"R$ 2,83 B","R$ 1,72 B","R$ 643,30 M","- R$ 83,16 M","R$ 726,46 M","R$ 439,77 M","R$ 0,61"
23,30/09/2018,"R$ 1,94 B","R$ 1,15 B","R$ 258,49 M","- R$ 81,29 M","R$ 339,77 M","R$ 194,21 M","R$ 0,27"
24,30/06/2018,"R$ 2,02 B","R$ 1,26 B","R$ 351,97 M","- R$ 76,28 M","R$ 428,26 M","R$ 274,71 M","R$ 0,38"
25,31/03/2018,"R$ 1,63 B","R$ 1,01 B","R$ 170,06 M","- R$ 73,85 M","R$ 243,90 M","R$ 111,44 M","R$ 0,16"
26,31/12/2017,"R$ 2,45 B","R$ 1,49 B","R$ 482,57 M","- R$ 87,46 M","R$ 570,03 M","R$ 331,80 M","R$ 0,47"
27,30/09/2017,"R$ 1,75 B","R$ 1,04 B","R$ 205,93 M","- R$ 82,77 M","R$ 288,70 M","R$ 140,32 M","R$ 0,20"
28,30/06/2017,"R$ 1,83 B","R$ 1,12 B","R$ 294,71 M","- R$ 79,71 M","R$ 374,42 M","R$ 193,58 M","R$ 0,27"
29,31/03/2017,"R$ 1,42 B","R$ 845,77 M","R$ 104,04 M","- R$ 79,11 M","R$ 183,15 M","R$ 66,98 M","R$ 0,10"
30,31/12/2016,"R$ 2,11 B","R$ 1,26 B","R$ 464,79 M","- R$ 82,38 M","R$ 547,18 M","- R$ 325,23 M","- R$ 0,51"
31,30/09/2016,"R$ 1,45 B","R$ 851,61 M","R$ 132,90 M","- R$ 78,60 M","R$ 211,50 M","R$ 84,90 M","R$ 0,13"
32,30/06/2016,"R$ 1,65 B","R$ 1,01 B","R$ 272,46 M","- R$ 76,91 M","R$ 349,37 M","R$ 174,81 M","R$ 0,27"
33,31/03/2016,"R$ 1,25 B","R$ 758,95 M","R$ 105,54 M","- R$ 73,37 M","R$ 178,91 M","R$ 65,52 M","R$ 0,10"
34,31/12/2015,"R$ 2,01 B","R$ 1,19 B","R$ 392,15 M","- R$ 71,48 M","R$ 463,62 M","R$ 251,51 M","R$ 0,39"
35,30/09/2015,"R$ 1,42 B","R$ 823,91 M","R$ 156,66 M","- R$ 68,24 M","R$ 224,89 M","R$ 95,97 M","R$ 0,15"
36,30/06/2015,"R$ 1,54 B","R$ 917,78 M","R$ 253,87 M","- R$ 63,69 M","R$ 317,56 M","R$ 158,17 M","R$ 1,24"
37,31/03/2015,"R$ 1,17 B","R$ 701,77 M","R$ 130,58 M","- R$ 61,39 M","R$ 191,96 M","R$ 73,19 M","R$ 0,57"
38,31/12/2014,"R$ 1,82 B","R$ 1,07 B","R$ 387,01 M","- R$ 57,77 M","R$ 444,78 M","R$ 218,65 M","R$ 1,72"
39,30/09/2014,"R$ 1,20 B","R$ 696,69 M","R$ 141,90 M","- R$ 55,03 M","R$ 196,93 M","R$ 83,39 M","R$ 0,66"
40,30/06/2014,"R$ 1,25 B","R$ 742,44 M","R$ 189,41 M","- R$ 51,63 M","R$ 241,04 M","R$ 118,48 M","R$ 0,94"
41,31/03/2014,"R$ 938,61 M","R$ 542,36 M","R$ 83,74 M","- R$ 48,30 M","R$ 132,04 M","R$ 50,91 M","R$ 0,40"
42,31/12/2013,"R$ 1,45 B","R$ 846,90 M","R$ 336,15 M","- R$ 45,28 M","R$ 381,43 M","R$ 216,16 M","R$ 1,72"
43,30/09/2013,"R$ 1,02 B","R$ 563,89 M","R$ 110,69 M","- R$ 42,28 M","R$ 152,97 M","R$ 71,64 M","R$ 0,57"
44,30/06/2013,"R$ 1,06 B","R$ 616,11 M","R$ 157,42 M","- R$ 40,59 M","R$ 198,01 M","R$ 98,00 M","R$ 0,78"
45,31/03/2013,"R$ 833,85 M","R$ 475,85 M","R$ 46,18 M","- R$ 39,29 M","R$ 85,47 M","R$ 21,61 M","R$ 0,17"
46,31/12/2012,"R$ 1,29 B","R$ 741,18 M","R$ 245,23 M","- R$ 37,12 M","R$ 282,35 M","R$ 147,68 M","R$ 1,19"
47,30/09/2012,"R$ 905,06 M","R$ 510,46 M","R$ 110,32 M","- R$ 33,75 M","R$ 144,07 M","R$ 68,52 M","R$ 0,55"
48,30/06/2012,"R$ 955,45 M","R$ 562,19 M","R$ 154,48 M","- R$ 31,93 M","R$ 186,41 M","R$ 103,47 M","R$ 0,84"
49,31/03/2012,"R$ 709,28 M","R$ 414,43 M","R$ 49,23 M","- R$ 30,15 M","R$ 79,38 M","R$ 35,73 M","R$ 0,29"
50,31/12/2011,"R$ 1,06 B","R$ 598,87 M","R$ 185,45 M","- R$ 29,37 M","R$ 214,82 M","R$ 119,08 M","R$ 0,97"
51,30/09/2011,"R$ 741,92 M","R$ 409,13 M","R$ 76,63 M","- R$ 24,17 M","R$ 100,80 M","R$ 56,70 M","R$ 0,46"
52,30/06/2011,"R$ 836,42 M","R$ 485,20 M","R$ 151,49 M","- R$ 22,58 M","R$ 174,07 M","R$ 113,54 M","R$ 0,93"
