,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"4,81%","5,62%","7,29%","8,52%","5,32%","2,42%","15,25%","2,57%","5,29%","9,68%","0,94","2,21","1,21","1,35"
1,31/03/2024,"6,89%","7,97%","10,44%","12,07%","8,46%","3,64%","16,40%","4,18%","8,34%","12,57%","0,87","2,18","1,18","1,15"
2,31/12/2023,"8,18%","9,45%","12,39%","14,32%","11,05%","4,71%","17,12%","5,17%","9,56%","13,56%","0,91","2,21","1,21","1,07"
3,30/09/2023,"9,00%","10,66%","13,63%","16,16%","11,95%","4,84%","17,36%","5,32%","10,01%","13,78%","0,91","2,28","1,28","0,81"
4,30/06/2023,"9,66%","11,79%","14,64%","17,86%","14,58%","6,01%","17,00%","5,83%","10,33%","13,81%","1,03","2,19","1,19","0,88"
5,31/03/2023,"9,90%","11,79%","15,00%","17,86%","15,00%","6,65%","16,97%","5,66%","9,45%","12,72%","1,18","2,32","1,32","1,33"
6,31/12/2022,"9,35%","11,20%","14,16%","16,97%","13,14%","5,80%","16,55%","5,12%","9,05%","12,19%","1,13","2,35","1,35","1,44"
7,30/09/2022,"13,29%","16,87%","20,14%","25,55%","24,20%","9,21%","16,09%","8,32%","11,14%","14,30%","1,11","2,47","1,47","1,11"
8,30/06/2022,"12,90%","16,06%","19,54%","24,34%","24,46%","9,35%","16,26%","8,00%","11,09%","14,34%","1,17","2,43","1,43","1,24"
9,31/03/2022,"13,13%","16,21%","19,90%","24,57%","32,25%","12,21%","16,20%","11,32%","11,80%","15,82%","1,08","2,26","1,26","0,99"
10,31/12/2021,"14,06%","17,27%","21,30%","26,17%","26,64%","9,84%","16,49%","9,04%","12,25%","15,89%","1,09","2,27","1,27","1,01"
11,30/09/2021,"12,21%","15,13%","18,50%","22,92%","16,81%","5,72%","17,42%","5,74%","11,11%","14,99%","1,00","2,63","1,63","0,69"
12,30/06/2021,"13,93%","16,93%","21,10%","25,65%","21,59%","7,57%","17,95%","7,01%","12,20%","16,30%","1,08","2,62","1,62","0,88"
13,31/03/2021,"6,70%","8,18%","10,15%","12,39%","10,55%","3,84%","16,23%","4,49%","7,68%","12,25%","0,85","2,64","1,64","1,49"
14,31/12/2020,"6,16%","7,61%","9,33%","11,53%","8,86%","3,55%","14,30%","3,39%","6,18%","12,08%","1,05","2,71","1,71","1,49"
15,30/09/2020,"2,57%","3,29%","3,90%","4,98%","1,86%","0,73%","11,92%","0,80%","2,77%","8,94%","0,90","2,94","1,94","2,44"
16,30/06/2020,"0,89%","1,12%","1,35%","1,69%","-1,07%","-0,42%","10,28%","-0,46%","0,91%","7,12%","0,91","2,85","1,85","3,39"
