,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 18/09/2024,"48,88","1,85","17,58","55,60","1,43","R$ 1,34 B","0,63%",270
1,30/06/2024,"46,60","1,77","16,76","53,00","1,36","R$ 1,27 B","0,66%",270
2,31/03/2024,"42,13","1,96","16,97","24,18","1,47","R$ 1,41 B","0,59%",270
3,31/12/2023,"49,13","2,42","18,86","32,21","1,84","R$ 1,73 B","0,00%",270
4,30/09/2023,"11,15","2,21","16,18","39,74","1,70","R$ 1,57 B","8,31%",270
5,30/06/2023,"16,64","3,50","24,97","49,99","2,68","R$ 2,45 B","5,31%",270
6,31/03/2023,"19,18","3,75","28,88","65,99","2,82","R$ 2,78 B","4,69%",270
7,31/12/2022,"20,48","3,58","29,57","61,65","2,88","R$ 2,81 B","0,70%",270
8,30/09/2022,"73,73","4,01","23,86","39,03","2,92","R$ 2,82 B","0,70%",270
9,30/06/2022,"115,96","3,91","24,38","18,51","2,76","R$ 2,68 B","0,74%",270
10,31/03/2022,"194,06","4,16","32,29","28,27","2,85","R$ 2,90 B","0,68%",270
11,31/12/2021,"66,48","3,63","24,24","22,14","2,51","R$ 2,53 B","0,00%",270
12,30/09/2021,,"2,96",,"-1,99","1,96","R$ 2,01 B","0,00%",270
13,30/06/2021,,"2,03",,"-1,28","1,48","R$ 1,37 B","0,00%",270
14,31/03/2021,,"14,87",,"-9,52","10,73","R$ 10,11 B","0,00%",270
