,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 12,17 M","R$ 208,61 M","- R$ 207,29 M","- R$ 10,02 M"
1,31/03/2024,"R$ 14,78 M","- R$ 9,33 M","- R$ 89,00 mil","R$ 5,54 M"
2,31/12/2023,"R$ 10,38 M","- R$ 200,48 M","- R$ 211,00 mil","- R$ 189,28 M"
3,30/09/2023,"R$ 49,18 M","R$ 138,50 M","- R$ 80,00 mil","R$ 187,08 M"
4,30/06/2023,"- R$ 79,13 M","- R$ 45,43 M","- R$ 132,00 mil","- R$ 124,52 M"
5,31/03/2023,"- R$ 115,35 M","- R$ 143,89 M","- R$ 160,00 mil","- R$ 259,70 M"
6,31/12/2022,"- R$ 10,81 M","- R$ 22,24 M","- R$ 77,00 mil","- R$ 30,80 M"
7,30/09/2022,"- R$ 23,84 M","R$ 107,62 M","- R$ 326,00 mil","R$ 81,63 M"
8,30/06/2022,"- R$ 24,03 M","- R$ 69,88 M","- R$ 6,32 M","- R$ 99,35 M"
9,31/03/2022,"R$ 15,65 M","- R$ 19,80 M","- R$ 249,00 mil","- R$ 10,45 M"
10,31/12/2021,"- R$ 32,54 M","- R$ 17,23 M","- R$ 6,63 M","- R$ 56,23 M"
11,30/09/2021,"- R$ 6,45 M","- R$ 47,95 M","R$ 393,83 M","R$ 336,84 M"
12,30/06/2021,"- R$ 6,95 M","- R$ 124,99 M","- R$ 5,15 M","- R$ 137,09 M"
13,31/03/2021,"R$ 6,21 M","- R$ 103,16 M","- R$ 107,00 mil","- R$ 97,06 M"
14,31/12/2020,"- R$ 3,49 M","R$ 1,57 M","R$ 298,83 M","R$ 296,92 M"
15,30/09/2020,"R$ 23,32 M","- R$ 7,33 M","R$ 8,33 M","R$ 24,31 M"
16,30/06/2020,"R$ 14,59 M","- R$ 6,78 M","R$ 4,53 M","R$ 12,34 M"
17,31/03/2020,"R$ 5,23 M","- R$ 205,00 mil","- R$ 362,00 mil","R$ 4,66 M"
18,31/12/2019,NA,NA,NA,NA
