,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"7,37%","6,89%","11,16%","10,44%","9,47%","6,08%","35,38%","11,10%","15,77%","18,73%","0,55","1,55","0,55","1,67"
1,30/06/2024,"11,30%","10,22%","17,12%","15,49%","11,52%","8,64%","33,05%","13,71%","19,86%","22,97%","0,63","1,52","0,52","1,49"
2,31/03/2024,"11,00%","10,12%","16,67%","15,34%","12,94%","9,50%","34,09%","16,14%","22,18%","25,17%","0,59","1,57","0,57","1,56"
3,31/12/2023,"11,07%","10,26%","16,78%","15,54%","13,71%","10,00%","35,72%","18,20%","24,00%","26,83%","0,55","1,53","0,53","1,57"
4,30/09/2023,"14,14%","12,89%","21,42%","19,53%","18,02%","12,99%","39,36%","23,46%","29,85%","32,24%","0,55","1,56","0,56","1,31"
5,30/06/2023,"12,87%","11,88%","19,50%","18,01%","18,14%","13,10%","44,32%","23,11%","26,97%","28,93%","0,57","1,33","0,33","0,37"
6,31/03/2023,"15,78%","14,52%","23,91%","22,01%","21,27%","15,40%","45,40%","26,18%","29,09%","30,86%","0,59","1,36","0,36","0,70"
7,31/12/2022,"16,33%","15,24%","24,74%","23,08%","22,21%","15,61%","47,47%","25,83%","32,14%","33,72%","0,60","1,37","0,37","0,63"
8,30/09/2022,"14,61%","13,68%","22,14%","20,73%","18,99%","13,22%","46,95%","22,56%","30,43%","32,09%","0,59","1,39","0,39","0,69"
9,30/06/2022,"15,14%","14,19%","22,94%","21,50%","20,16%","13,54%","46,63%","23,25%","30,66%","32,26%","0,58","1,39","0,39","0,69"
10,31/03/2022,"29,90%","26,76%","45,30%","40,54%","98,11%","21,04%","48,50%","22,20%","32,75%","34,32%","0,95","1,38","0,38","0,27"
11,31/12/2021,"41,18%","35,83%","62,39%","54,29%","146,93%","25,56%","48,74%","23,80%","33,42%","34,95%","1,07","1,42","0,42","0,68"
12,30/09/2021,"39,01%","34,42%","59,11%","52,15%","117,46%","28,09%","50,19%","26,12%","35,33%","36,80%","1,08","1,44","0,44","0,78"
13,30/06/2021,"50,67%","43,75%","76,77%","66,28%","146,11%","27,75%","50,55%","25,03%","36,11%","37,35%","1,11","1,49","0,49","0,74"
14,31/03/2021,"53,42%","51,78%","80,94%","78,45%","104,33%","38,63%","48,61%","23,98%","34,52%","35,92%","1,61","4,66","3,66","1,70"
15,31/12/2020,"49,12%","47,71%","74,42%","72,29%","95,70%","34,44%","47,04%","21,52%","32,93%","34,26%","1,60","5,75","4,75","1,53"
16,30/09/2020,"52,24%","51,63%","79,16%","78,22%","97,33%","31,92%","46,86%","22,34%","34,09%","35,29%","1,43","4,18","3,18","1,64"
17,30/06/2020,"44,88%","44,40%","68,01%","67,27%","75,46%","29,82%","45,57%","20,82%","33,05%","34,45%","1,43","5,27","4,27","1,41"
18,31/03/2020,"47,57%","47,05%","72,08%","71,29%","82,50%","32,11%","44,85%","20,11%","32,18%","33,19%","1,60","2,70","1,70","0,81"
19,31/12/2019,"45,95%","45,49%","69,62%","68,93%","89,66%","33,70%","44,00%","20,48%","30,84%","31,87%","1,65","2,78","1,78","0,87"
20,30/09/2019,"44,36%","43,95%","67,22%","66,59%","96,30%","29,09%","43,56%","18,83%","28,53%","29,52%","1,54","3,05","2,05","0,75"
21,30/06/2019,"47,00%","46,53%","71,22%","70,50%","101,19%","30,10%","43,89%","18,84%","28,23%","29,28%","1,60","2,53","1,53","0,81"
22,31/03/2019,"59,53%","58,54%","90,20%","88,69%","80,99%","33,09%","42,68%","15,82%","25,64%","26,84%","2,09","2,57","1,57","0,95"
23,31/12/2018,"59,68%","58,49%","90,42%","88,62%","89,10%","33,67%","43,25%","15,76%","25,96%","27,21%","2,14","2,66","1,66","1,01"
24,30/09/2018,"47,64%","46,70%","72,19%","70,75%","65,40%","24,71%","42,44%","13,37%","23,96%","25,38%","1,85","3,31","2,31","1,34"
25,30/06/2018,"40,25%","39,45%","60,99%","59,77%","56,74%","21,44%","40,57%","12,75%","22,23%","23,75%","1,68","3,36","2,36","1,37"
26,31/03/2018,"51,32%","50,30%","77,76%","76,21%","79,44%","30,02%","46,00%","17,34%","27,55%","28,99%","1,73","2,45","1,45","0,42"
27,31/12/2017,NA,NA,NA,NA,NA,NA,"45,40%","16,70%","26,61%","28,06%",NA,"2,65","1,65","0,52"
