,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"14,87%","15,26%","22,53%","23,12%","20,62%","7,44%","25,99%","6,68%","12,25%","13,59%","1,11","2,66","1,66","1,21"
1,31/03/2024,"15,04%","15,38%","22,78%","23,31%","21,81%","7,69%","26,75%","7,19%","12,77%","14,12%","1,07","2,69","1,69","1,29"
2,31/12/2023,"13,19%","13,42%","19,98%","20,33%","17,68%","5,88%","27,06%","6,28%","12,95%","14,38%","0,93","2,89","1,89","1,41"
3,30/09/2023,"13,62%","13,87%","20,64%","21,01%","14,41%","4,48%","30,03%","5,35%","13,75%","15,24%","0,84","2,89","1,89","1,61"
4,30/06/2023,"13,84%","14,16%","20,97%","21,45%","16,68%","4,96%","28,20%","5,62%","13,05%","14,40%","0,88","2,77","1,77","1,62"
5,31/03/2023,"21,31%","22,03%","32,28%","33,38%","25,67%","6,82%","24,96%","6,06%","12,54%","13,60%","1,12","2,84","1,84","1,45"
6,31/12/2022,"23,30%","24,08%","35,30%","36,48%","25,87%","8,07%","23,97%","6,07%","12,52%","13,52%","1,33","3,01","2,01","1,64"
7,30/09/2022,"20,21%","20,71%","30,63%","31,39%","8,59%","3,07%","20,12%","2,12%","10,02%","10,95%","1,45","3,21","2,21","1,92"
8,30/06/2022,"20,42%","20,83%","30,95%","31,56%","19,32%","6,79%","20,57%","4,65%","9,81%","10,79%","1,46","3,36","2,36","2,09"
9,31/03/2022,"17,91%","18,37%","27,14%","27,83%","15,97%","5,87%","21,95%","4,66%","10,11%","11,31%","1,26","3,77","2,77","1,55"
10,31/12/2021,"15,72%","16,13%","23,81%","24,43%","19,60%","7,09%","22,84%","5,95%","9,01%","10,27%","1,19","3,20","2,20","1,57"
11,30/09/2021,"25,26%","26,01%","38,28%","39,41%","32,97%","11,99%","24,07%","9,66%","14,51%","15,87%","1,24","2,80","1,80","0,69"
12,30/06/2021,"24,35%","24,86%","36,89%","37,67%","34,45%","12,72%","23,62%","10,59%","15,17%","16,72%","1,20","2,85","1,85","0,67"
13,31/03/2021,"18,00%","18,39%","27,27%","27,87%","27,66%","10,12%","21,33%","9,74%","13,26%","15,06%","1,04","2,72","1,72","0,71"
