,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
87,30/09/2002,"R$ 0,00","R$ 0,00","- R$ 4,30 M",NA,NA,"R$ 1,95 M","R$ 0,00"
88,30/06/2002,"R$ 0,00","R$ 0,00","- R$ 3,87 M",NA,NA,"R$ 2,37 M","R$ 0,00"
89,31/03/2002,"R$ 0,00","R$ 0,00","- R$ 4,52 M",NA,NA,"R$ 852,00 mil","R$ 0,00"
90,31/12/2001,"R$ 0,00","R$ 0,00","- R$ 15,72 M",NA,NA,"- R$ 4,35 M","- R$ 0,00"
91,30/06/2001,"R$ 0,00","R$ 0,00","R$ 28,11 M",NA,NA,"R$ 24,33 M","R$ 0,00"
92,31/03/2001,"R$ 0,00","R$ 0,00","- R$ 3,74 M",NA,NA,"R$ 1,10 M","R$ 0,00"
93,31/12/2000,"R$ 0,00","R$ 0,00","- R$ 2,93 M",NA,NA,"R$ 4,70 M","R$ 0,00"
94,30/09/2000,"R$ 0,00","R$ 0,00","- R$ 2,92 M",NA,NA,"R$ 7,80 M","R$ 0,00"
95,30/06/2000,"R$ 0,00","R$ 0,00","- R$ 10,08 M",NA,NA,"- R$ 11,05 M","- R$ 0,00"
96,31/03/2000,"R$ 0,00","R$ 0,00","- R$ 7,93 M",NA,NA,"- R$ 629,00 mil","- R$ 0,00"
