,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 7,23 M","- R$ 10,98 M","- R$ 5,50 M","- R$ 9,24 M"
1,31/03/2024,"R$ 73,48 M","- R$ 5,76 M","- R$ 8,33 M","R$ 59,39 M"
2,31/12/2023,"R$ 11,93 M","- R$ 64,99 M","R$ 6,26 M","- R$ 46,80 M"
3,30/09/2023,"R$ 69,27 M","- R$ 12,47 M","R$ 360,00 mil","R$ 57,17 M"
4,30/06/2023,"R$ 25,98 M","- R$ 18,70 M","- R$ 13,68 M","- R$ 6,40 M"
5,31/03/2023,"R$ 55,18 M","- R$ 16,82 M","- R$ 14,23 M","R$ 24,13 M"
6,31/12/2022,"R$ 73,17 M","- R$ 23,00 M","- R$ 9,91 M","R$ 40,26 M"
7,30/09/2022,"R$ 54,37 M","- R$ 15,58 M","R$ 9,85 M","R$ 48,64 M"
8,30/06/2022,"- R$ 11,67 M","- R$ 8,91 M","R$ 7,83 M","- R$ 12,75 M"
9,31/03/2022,"R$ 1,24 M","- R$ 5,79 M","R$ 8,17 M","R$ 3,62 M"
10,31/12/2021,"R$ 158,57 M","- R$ 10,21 M","R$ 1,35 M","R$ 149,71 M"
11,30/09/2021,"R$ 3,53 M","- R$ 4,55 M","R$ 6,41 M","R$ 5,39 M"
12,30/06/2021,"R$ 20,21 M","- R$ 20,25 M","R$ 4,45 M","R$ 4,41 M"
13,31/03/2021,"- R$ 30,42 M","- R$ 4,99 M","R$ 4,86 M","- R$ 30,55 M"
14,31/12/2020,"R$ 98,26 M","- R$ 12,99 M","- R$ 1,38 M","R$ 83,88 M"
15,30/09/2020,"R$ 21,93 M","- R$ 10,34 M","R$ 3,12 M","R$ 14,70 M"
16,30/06/2020,"- R$ 6,31 M","- R$ 11,62 M","R$ 7,47 M","- R$ 10,46 M"
17,31/03/2020,"R$ 13,14 M","- R$ 825,43 M","R$ 15,92 M","- R$ 796,38 M"
18,31/12/2019,"- R$ 49,09 M","- R$ 3,07 M","R$ 832,54 M","R$ 780,39 M"
19,30/09/2019,"- R$ 44,79 M","- R$ 34,31 M","- R$ 1,46 M","- R$ 80,56 M"
20,30/06/2019,"- R$ 57,42 M","- R$ 33,64 M","- R$ 1,45 M","- R$ 92,51 M"
21,31/03/2019,"- R$ 50,88 M","- R$ 25,48 M","R$ 165,06 M","R$ 88,70 M"
22,31/12/2018,"- R$ 52,49 M","- R$ 62,47 M","R$ 230,00 M","R$ 115,03 M"
23,30/09/2018,"- R$ 42,68 M","- R$ 71,19 M","R$ 70,65 M","- R$ 43,21 M"
24,30/06/2018,"- R$ 61,70 M","- R$ 51,63 M","R$ 80,21 M","- R$ 33,13 M"
25,31/03/2018,"- R$ 73,01 M","- R$ 78,53 M","R$ 70,04 M","- R$ 81,50 M"
26,31/12/2017,"R$ 47,65 M","- R$ 121,12 M","R$ 52,70 M","- R$ 20,76 M"
27,30/09/2017,"- R$ 28,33 M","- R$ 64,36 M","R$ 2,78 M","- R$ 89,90 M"
28,30/06/2017,"- R$ 36,22 M","- R$ 25,26 M","R$ 117,00 M","R$ 55,52 M"
29,31/03/2017,"- R$ 28,42 M","- R$ 46,74 M","R$ 46,50 M","- R$ 28,67 M"
30,31/12/2016,"- R$ 39,38 M","- R$ 35,33 M","R$ 282,24 M","R$ 207,53 M"
31,30/09/2016,"- R$ 43,75 M","- R$ 78,86 M","R$ 33,67 M","- R$ 88,94 M"
32,30/06/2016,"- R$ 81,78 M","- R$ 119,17 M","R$ 205,00 M","R$ 4,05 M"
33,31/03/2016,"- R$ 15,52 M","- R$ 245,97 M","R$ 164,79 M","- R$ 96,69 M"
34,31/12/2015,"R$ 51,39 M","- R$ 142,82 M","R$ 132,93 M","R$ 41,49 M"
35,30/09/2015,"R$ 149,22 M","- R$ 210,99 M","R$ 133,88 M","R$ 72,11 M"
36,30/06/2015,"- R$ 75,55 M","- R$ 210,24 M","R$ 251,35 M","- R$ 34,45 M"
37,31/03/2015,"- R$ 63,02 M","- R$ 14,09 M","R$ 5,67 M","- R$ 71,45 M"
38,31/12/2014,"R$ 109,37 M","- R$ 322,41 M","R$ 267,03 M","R$ 53,99 M"
39,30/09/2014,"R$ 119,57 M","- R$ 154,07 M","R$ 42,71 M","R$ 8,21 M"
40,30/06/2014,"R$ 48,59 M","- R$ 173,54 M","R$ 72,67 M","- R$ 52,28 M"
41,31/03/2014,"- R$ 31,32 M","- R$ 229,18 M","R$ 50,42 M","- R$ 210,08 M"
