,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"3,49%","1,09%","68,94%","14,46%","0,08","3,35","2,35"
1,31/03/2024,"-2,98%","-0,97%","72,96%","-13,07%","0,07","3,37","2,37"
2,31/12/2023,"-1,01%","-0,33%","76,13%","-4,05%","0,08","3,30","2,30"
3,30/09/2023,"382,87%","30,61%","12,74%","254,92%","0,12","3,39","2,39"
4,30/06/2023,"-105,67%","32,49%","28,24%","261,71%","0,12","3,21","2,21"
5,31/03/2023,"-110,72%","36,08%","29,51%","331,34%","0,11","3,07","2,07"
6,31/12/2022,"-118,59%","34,07%","28,34%","376,51%","0,09","3,09","2,09"
7,30/09/2022,"-22,59%","7,04%","30,94%","108,40%","0,06","12,51","11,51"
8,30/06/2022,"-18,85%","6,04%","1,60%","127,13%","0,05","-3,25","-4,25"
9,31/03/2022,"0,48%","-0,20%","5,64%","-5,26%","0,04","-3,07","-4,07"
10,31/12/2021,"-2,77%","1,34%","13,83%","32,71%","0,04","-3,48","-4,48"
11,30/09/2021,"-8,57%","4,99%","4,73%","135,64%","0,04","-3,21","-4,21"
12,30/06/2021,"-3,46%","1,85%","21,54%","44,91%","0,04","-3,12","-4,12"
13,31/03/2021,"-3,99%","1,94%","23,98%","56,44%","0,03","-2,35","-3,35"
14,31/12/2020,"-1,98%","0,98%","33,65%","31,82%","0,03","-2,07","-3,07"
15,30/09/2020,"54,29%","-19,96%","53,11%","-772,80%","0,03","-1,72","-2,72"
16,30/06/2020,"74,40%","-21,47%","61,75%","-1.128,63%","0,02","-1,87","-2,87"
17,31/03/2020,"341,97%","-33,04%","52,34%","-1.785,59%","0,02","-2,05","-3,05"
18,31/12/2019,"1.325,76%","-38,58%","32,42%","-1.032,75%","0,04","-2,03","-3,03"
19,30/09/2019,"-390,70%","-39,08%","3,10%","-511,42%","0,08","-2,72","-3,72"
20,30/06/2019,"-228,31%","-41,27%","-7,35%","-299,52%","0,14","-3,47","-4,47"
21,31/03/2019,"-139,25%","-31,29%","-12,58%","-153,68%","0,20","-10,35","-11,35"
22,31/12/2018,"-109,81%","-29,23%","-17,53%","-120,64%","0,24","-34,36","-35,36"
23,30/09/2018,"-82,96%","-37,91%","-14,12%","-182,63%","0,21","10,00","9,00"
24,30/06/2018,"-72,72%","-25,18%","-8,01%","-183,44%","0,14","5,53","4,53"
25,31/03/2018,"-60,48%","-19,49%","-0,49%","-154,19%","0,13","4,45","3,45"
26,31/12/2017,"-58,27%","-19,31%","7,82%","-155,23%","0,12","3,76","2,76"
27,30/09/2017,"-26,83%","-10,51%","10,76%","-95,12%","0,11","2,19","1,19"
28,30/06/2017,"-20,03%","-7,78%","15,25%","-78,74%","0,10","2,89","1,89"
29,31/03/2017,"-28,36%","-10,66%","16,51%","-119,68%","0,09","3,10","2,10"
30,31/12/2016,"-41,91%","-18,29%","6,11%","-227,98%","0,08","3,02","2,02"
31,30/09/2016,"-32,82%","-16,47%","7,03%","-223,49%","0,07","2,55","1,55"
32,30/06/2016,"-16,95%","-7,18%","12,77%","-102,04%","0,07","2,58","1,58"
33,31/03/2016,"-11,87%","-5,35%","26,84%","-73,07%","0,07","2,66","1,66"
34,31/12/2015,"4,71%","2,13%","47,93%","28,84%","0,07","2,29","1,29"
35,30/09/2015,"15,68%","7,83%","56,79%","87,71%","0,09","1,99","0,99"
36,30/06/2015,"-4,77%","-1,93%","54,36%","-20,75%","0,09","2,36","1,36"
37,31/03/2015,"-1,98%","-0,80%","51,79%","-10,14%","0,08","2,22","1,22"
38,31/12/2014,"-3,57%","-0,97%","53,44%","-11,79%","0,08","2,21","1,21"
39,30/09/2014,"-0,17%","-0,05%","52,33%","-0,74%","0,07","2,00","1,00"
40,30/06/2014,"0,68%","0,21%","56,63%","2,92%","0,07","2,47","1,47"
41,31/03/2014,"0,63%","0,23%","57,89%","2,80%","0,08","2,46","1,46"
42,31/12/2013,"0,63%","0,23%","56,62%","2,77%","0,08","3,67","2,67"
43,30/09/2013,"-2,35%","-1,09%","56,75%","-10,97%","0,10","3,33","2,33"
44,30/06/2013,"-2,23%","-0,83%","58,09%","-7,10%","0,12","3,19","2,19"
45,31/03/2013,"-1,49%","-0,61%","57,83%","-6,00%","0,10","2,70","1,70"
46,31/12/2012,"-0,88%","-0,37%","57,78%","-5,20%","0,07","2,70","1,70"
47,30/09/2012,"-0,88%","-0,37%","57,78%","-5,20%","0,07","2,70","1,70"
48,30/06/2012,"-2,24%","-0,77%","62,13%","-16,53%","0,05","2,68","1,68"
49,31/03/2012,"-2,33%","-1,19%","67,80%","-17,74%","0,07","2,44","1,44"
50,31/12/2011,"-4,18%","-2,79%","70,21%","-33,00%","0,08","2,37","1,37"
51,30/09/2011,"0,40%","0,27%","67,53%","3,06%","0,09","2,31","1,31"
52,30/06/2011,"-1,76%","-0,86%","67,53%","-6,67%","0,13","2,92","1,92"
53,31/03/2011,"-1,02%","-0,48%","67,59%","-3,87%","0,12","1,95","0,95"
54,31/12/2010,"1,08%","0,51%","67,83%","4,07%","0,13","1,50","0,50"
55,30/09/2010,"1,74%","0,81%","66,60%","6,72%","0,12","1,51","0,51"
56,30/06/2010,"1,50%","0,69%","63,68%","5,91%","0,12","2,05","1,05"
57,31/03/2010,"17,70%","0,51%","65,78%","3,66%","0,14","2,12","1,12"
58,31/12/2009,"-17,05%","-0,62%","65,80%","-4,55%","0,14","2,11","1,11"
59,30/09/2009,"-74,49%","-4,72%","63,97%","-35,66%","0,13","2,14","1,14"
60,30/06/2009,"-80,15%","-7,32%","64,20%","-56,79%","0,13","2,17","1,17"
61,31/03/2009,"-75,59%","-9,24%","64,17%","-92,57%","0,10","34,79","33,79"
62,31/12/2008,"-640,80%","-12,48%","62,90%","-161,79%","0,08","27,47","26,47"
63,30/09/2008,"-611,23%","-11,90%","66,35%","-343,24%","0,03","15,77","14,77"
64,30/06/2008,"-407,86%","-7,94%","88,75%","-1.427,42%","0,01","10,94","9,94"
65,31/03/2008,"-212,73%","-4,14%","0,00%","0,00%","0,00","8,18","7,18"
