,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 64,60 B","R$ 9,03 B","R$ 7,65 B","- R$ 3,16 B","R$ 10,81 B","R$ 5,06 B","R$ 2,40",13
1,31/03/2024,"R$ 66,25 B","R$ 10,12 B","R$ 8,91 B","- R$ 3,14 B","R$ 12,05 B","R$ 6,34 B","R$ 3,61",13
2,31/12/2023,"R$ 68,92 B","R$ 11,33 B","R$ 10,45 B","- R$ 3,13 B","R$ 13,58 B","R$ 7,50 B","R$ 4,27",13
3,30/09/2023,"R$ 72,16 B","R$ 12,63 B","R$ 12,05 B","- R$ 3,06 B","R$ 15,10 B","R$ 8,13 B","R$ 4,63",13
4,30/06/2023,"R$ 76,25 B","R$ 14,57 B","R$ 14,12 B","- R$ 3,01 B","R$ 17,13 B","R$ 9,56 B","R$ 5,44",13
5,31/03/2023,"R$ 80,95 B","R$ 17,20 B","R$ 17,03 B","- R$ 2,98 B","R$ 20,01 B","R$ 11,71 B","R$ 6,66",13
6,31/12/2022,"R$ 82,41 B","R$ 18,75 B","R$ 17,75 B","- R$ 2,90 B","R$ 20,65 B","R$ 11,43 B","R$ 6,83",13
7,30/09/2022,"R$ 86,00 B","R$ 21,01 B","R$ 19,78 B","- R$ 2,75 B","R$ 22,53 B","R$ 13,77 B","R$ 8,01",13
8,30/06/2022,"R$ 86,17 B","R$ 22,69 B","R$ 22,71 B","- R$ 2,63 B","R$ 25,34 B","R$ 16,33 B","R$ 9,50",13
9,31/03/2022,"R$ 82,33 B","R$ 22,20 B","R$ 22,48 B","- R$ 2,52 B","R$ 25,00 B","R$ 15,97 B","R$ 9,29",13
10,31/12/2021,"R$ 78,35 B","R$ 20,82 B","R$ 21,02 B","- R$ 2,52 B","R$ 23,54 B","R$ 15,49 B","R$ 9,01",13
11,30/09/2021,"R$ 70,41 B","R$ 18,29 B","R$ 19,07 B","- R$ 2,51 B","R$ 21,58 B","R$ 12,99 B","R$ 7,56",13
12,30/06/2021,"R$ 61,32 B","R$ 13,57 B","R$ 12,07 B","- R$ 2,52 B","R$ 14,59 B","R$ 7,20 B","R$ 4,19",13
13,31/03/2021,"R$ 50,93 B","R$ 8,87 B","R$ 8,28 B","- R$ 2,51 B","R$ 10,79 B","R$ 4,60 B","R$ 2,68",13
14,31/12/2020,"R$ 43,81 B","R$ 5,93 B","R$ 5,19 B","- R$ 2,44 B","R$ 7,64 B","R$ 2,37 B","R$ 1,38",13
15,30/09/2020,"R$ 39,73 B","R$ 3,95 B","R$ 3,20 B","- R$ 2,33 B","R$ 5,53 B","R$ 1,42 B","R$ 0,82",13
16,30/06/2020,"R$ 37,44 B","R$ 3,24 B","R$ 2,52 B","- R$ 2,21 B","R$ 4,73 B","R$ 917,10 M","R$ 0,53",13
17,31/03/2020,"R$ 38,85 B","R$ 3,79 B","R$ 2,67 B","- R$ 2,12 B","R$ 4,79 B","R$ 971,36 M","R$ 0,56",13
18,31/12/2019,"R$ 39,64 B","R$ 4,20 B","R$ 3,18 B","- R$ 2,07 B","R$ 5,26 B","R$ 1,20 B","R$ 0,70",13
19,30/09/2019,"R$ 41,01 B","R$ 4,83 B","R$ 3,25 B","- R$ 2,04 B","R$ 5,29 B","R$ 1,49 B","R$ 0,87",13
20,30/06/2019,"R$ 43,92 B","R$ 5,71 B","R$ 3,82 B","- R$ 2,01 B","R$ 5,83 B","R$ 1,99 B","R$ 1,16",13
21,31/03/2019,"R$ 45,80 B","R$ 6,08 B","R$ 4,07 B","- R$ 1,94 B","R$ 6,02 B","R$ 2,31 B","R$ 1,34",13
22,31/12/2018,"R$ 46,16 B","R$ 6,15 B","R$ 4,05 B","- R$ 1,89 B","R$ 5,94 B","R$ 2,30 B","R$ 1,34",13
23,30/09/2018,"R$ 45,08 B","R$ 5,89 B","R$ 2,25 B","- R$ 1,91 B","R$ 4,16 B","R$ 536,03 M","R$ 0,31",13
24,30/06/2018,"R$ 41,72 B","R$ 5,00 B","R$ 1,56 B","- R$ 1,95 B","R$ 3,51 B","- R$ 114,11 M","- R$ 0,07",13
25,31/03/2018,"R$ 38,85 B","R$ 4,29 B","R$ 856,79 M","- R$ 2,02 B","R$ 2,87 B","- R$ 733,67 M","- R$ 0,43",13
