,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,31/03/2024,"- R$ 1,25 B","R$ 713,99 M","R$ 68,85 M","- R$ 468,07 M"
1,31/12/2023,"- R$ 5,16 B","R$ 150,55 M","R$ 155,13 M","- R$ 4,85 B"
2,30/09/2023,"- R$ 3,97 B","- R$ 178,70 M","R$ 75,26 M","- R$ 4,08 B"
3,30/06/2023,"R$ 4,79 B","- R$ 88,73 M","- R$ 305,69 M","R$ 4,39 B"
4,31/03/2023,"- R$ 82,76 M","- R$ 135,88 M","R$ 189,10 M","- R$ 29,54 M"
5,31/12/2022,"- R$ 1,54 B","- R$ 55,74 M","R$ 196,66 M","- R$ 1,40 B"
6,30/09/2022,"- R$ 2,37 B","- R$ 83,40 M","R$ 694,36 M","- R$ 1,77 B"
7,30/06/2022,"R$ 1,15 B","- R$ 53,68 M","R$ 329,26 M","R$ 1,42 B"
8,31/03/2022,"R$ 1,75 B","- R$ 64,29 M","- R$ 187,08 M","R$ 1,50 B"
9,31/12/2021,NA,NA,NA,NA
10,30/09/2021,"- R$ 1,33 B","R$ 1,20 B","- R$ 1,17 M","- R$ 127,14 M"
11,30/06/2021,"- R$ 1,69 B","- R$ 48,39 M","- R$ 248,81 M","- R$ 1,98 B"
12,31/03/2021,"R$ 2,25 B","- R$ 2,61 B","- R$ 54,98 M","- R$ 415,94 M"
13,31/12/2020,"R$ 3,65 B","- R$ 281,84 M","- R$ 861,12 M","R$ 2,51 B"
14,30/09/2020,"R$ 1,29 B","R$ 124,85 M","- R$ 32,98 M","R$ 1,38 B"
15,30/06/2020,"R$ 634,00 M","- R$ 210,74 M","- R$ 40,97 M","R$ 382,29 M"
16,31/03/2020,"- R$ 194,68 M","- R$ 30,16 M","- R$ 59,27 M","- R$ 284,11 M"
17,31/12/2019,"R$ 766,86 M","- R$ 30,93 M","- R$ 969,33 M","- R$ 233,40 M"
18,30/09/2019,"R$ 41,52 M","- R$ 237,08 M","- R$ 186,59 M","- R$ 382,16 M"
19,30/06/2019,"R$ 428,58 M","- R$ 47,79 M","- R$ 96,53 M","R$ 284,27 M"
20,31/03/2019,"- R$ 53,68 M","- R$ 9,98 M","R$ 133,99 M","R$ 70,34 M"
21,31/12/2018,"R$ 523,33 M","- R$ 20,86 M","- R$ 852,75 M","- R$ 350,28 M"
22,30/09/2018,"R$ 356,62 M","- R$ 11,76 M","R$ 19,31 M","R$ 364,17 M"
23,30/06/2018,"R$ 351,22 M","- R$ 11,66 M","- R$ 51,53 M","R$ 288,03 M"
24,31/03/2018,"- R$ 340,45 M","- R$ 15,68 M","R$ 16,16 M","- R$ 339,97 M"
25,31/12/2017,"R$ 1,75 B","- R$ 54,45 M","- R$ 872,92 M","R$ 818,59 M"
26,30/09/2017,"R$ 260,21 M","- R$ 77,38 M","R$ 2,77 M","R$ 185,60 M"
27,30/06/2017,"- R$ 51,70 M","R$ 14,38 M","- R$ 52,69 M","- R$ 90,02 M"
28,31/03/2017,"R$ 316,55 M","- R$ 16,28 M","R$ 19,03 M","R$ 319,30 M"
29,31/12/2016,"R$ 835,35 M","- R$ 17,49 M","- R$ 778,27 M","R$ 39,59 M"
30,30/09/2016,"R$ 442,57 M","- R$ 43,69 M","R$ 104,75 M","R$ 503,63 M"
31,30/06/2016,"- R$ 327,00 mil","- R$ 33,22 M","- R$ 81,51 M","- R$ 115,05 M"
32,31/03/2016,"- R$ 85,02 M","- R$ 23,80 M","R$ 23,03 M","- R$ 85,78 M"
33,31/12/2015,"R$ 1,02 B","- R$ 34,08 M","- R$ 759,12 M","R$ 223,87 M"
34,30/09/2015,"R$ 522,28 M","- R$ 12,24 M","- R$ 564,11 M","- R$ 54,07 M"
35,30/06/2015,"- R$ 117,45 M","- R$ 15,16 M","R$ 596,58 M","R$ 463,97 M"
36,31/03/2015,"R$ 340,22 M","- R$ 15,67 M","R$ 17,39 M","R$ 341,94 M"
37,31/12/2014,"R$ 520,64 M","- R$ 71,45 M","- R$ 303,92 M","R$ 145,27 M"
38,30/09/2014,"- R$ 137,81 M","- R$ 10,56 M","R$ 514,99 M","R$ 366,62 M"
39,30/06/2014,"- R$ 204,89 M","- R$ 12,30 M","R$ 525,93 M","R$ 308,74 M"
40,31/03/2014,"- R$ 195,12 M","- R$ 17,78 M","R$ 323,79 M","R$ 110,90 M"
41,31/12/2013,"- R$ 241,91 M","- R$ 14,24 M","R$ 494,34 M","R$ 238,18 M"
42,30/09/2013,"- R$ 41,02 M","- R$ 6,28 M","R$ 352,91 M","R$ 305,61 M"
43,30/06/2013,"- R$ 365,97 M","- R$ 17,11 M","R$ 1,20 B","R$ 816,14 M"
44,31/03/2013,"- R$ 61,75 M","- R$ 4,44 M","- R$ 106,98 M","- R$ 173,17 M"
45,31/12/2012,"- R$ 193,02 M","- R$ 30,21 M","- R$ 158,66 M","- R$ 381,90 M"
46,30/09/2012,"- R$ 333,07 M","- R$ 6,64 M","R$ 500,10 M","R$ 160,39 M"
