,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 01/10/2024,"7,02","1,95","1,18","4,14","1,39","R$ 532,67 M","3,67%"
1,30/06/2024,"6,15","1,71","1,04","3,63","1,22","R$ 467,14 M","2,78%"
2,31/03/2024,"5,88","1,68","0,93","3,09","1,16","R$ 424,86 M","2,51%"
3,31/12/2023,"6,62","2,04","1,04","3,49","1,42","R$ 476,02 M","2,64%"
4,30/09/2023,"5,73","2,01","0,92","3,54","1,24","R$ 439,66 M","2,66%"
5,30/06/2023,"5,22","1,96","0,81","4,59","1,06","R$ 397,39 M","2,66%"
6,31/03/2023,"3,33","1,24","0,49","4,31","0,60","R$ 231,24 M","4,05%"
7,31/12/2022,"4,67","1,54","0,60","6,18","0,68","R$ 264,22 M","3,08%"
8,30/09/2022,"4,82","1,90","0,75","24,09","0,79","R$ 302,27 M","1,85%"
9,30/06/2022,"3,73","1,36","0,57","-34,70","0,55","R$ 193,20 M","1,77%"
10,31/03/2022,"6,07","1,60","0,74","-28,86","0,61","R$ 205,88 M","0,75%"
11,31/12/2021,"7,12","1,56","0,82","-17,51","0,61","R$ 195,73 M","0,00%"
12,30/09/2021,"13,94","1,81","0,93","-16,92","0,64","R$ 192,35 M","0,00%"
13,30/06/2021,"7,56","2,40","1,29","-46,21","0,85","R$ 228,23 M","0,00%"
14,31/03/2021,"15,76","2,44","1,66","18,55","0,87","R$ 240,91 M","0,00%"
15,31/12/2020,"9,64","2,18","1,36","12,24","0,75","R$ 212,18 M","0,00%"
16,30/09/2020,"7,93","2,17","1,31","3,98","0,74","R$ 198,71 M","0,00%"
17,30/06/2020,"85,84","3,08","1,14","4,06","0,91","R$ 198,99 M","0,00%"
18,31/03/2020,"4,86","1,41","0,53","3,93","0,46","R$ 115,87 M","0,00%"
19,31/12/2019,"13,85","3,77","1,27","25,99","1,15","R$ 280,01 M","0,00%"
20,30/09/2019,"16,58","3,85","1,20","-32,03","1,11","R$ 272,87 M","0,00%"
21,30/06/2019,"1,55","0,65","0,12","-14,81","0,13","R$ 27,29 M","0,00%"
22,31/03/2019,"1,53","0,67","0,10","17,47","0,12","R$ 25,06 M","0,00%"
23,31/12/2018,"1,51","1,03","0,10","12,24","0,12","R$ 25,06 M","0,00%"
24,30/09/2018,"0,40","1,46","0,10","-5,22","0,12","R$ 25,06 M","0,00%"
25,30/06/2018,"0,45","1,89","0,10","3,22","0,12","R$ 25,06 M","0,00%"
26,31/03/2018,"0,53","2,30","0,10","5,47","0,11","R$ 25,06 M","0,00%"
27,31/12/2017,"0,56","3,60","0,10","2,74","0,11","R$ 25,06 M","0,00%"
28,30/09/2017,"-1,03","-0,58","0,10","3,78","0,11","R$ 25,06 M","0,00%"
29,30/06/2017,"-1,13","-0,62","0,09","-2,13","0,11","R$ 25,06 M","0,00%"
30,31/03/2017,"-1,28","-0,72","0,09","1,62","0,11","R$ 25,06 M","0,00%"
31,31/12/2016,"-0,75","-0,69","0,09","0,90","0,11","R$ 25,06 M","0,00%"
32,30/09/2016,"-1,52","-1,40","0,09","0,95","0,11","R$ 25,06 M","0,00%"
33,30/06/2016,"-0,71","-1,36","0,09","0,93","0,10","R$ 25,06 M","0,00%"
34,31/03/2016,"-6,03","-16,32","0,90","16,17","0,98","R$ 250,59 M","0,00%"
35,31/12/2015,"-8,92","354,44","0,88","103,85","0,94","R$ 250,59 M","0,00%"
36,30/09/2015,"-7,69","46,85","0,79","-60,19","0,87","R$ 250,59 M","0,00%"
37,30/06/2015,"37,63","11,31","0,83","-65,12","0,93","R$ 250,59 M","0,00%"
