,data,retorno_sem_patrimonio,retorno_sem_ativo,margem_bruta,margem_liquida,giro_inicial,alavancagem_financeira,patrimonio_liquido
0,30/06/2024,"37,38%","20,24%","48,56%","16,84%","1,20","1,41","0,41"
1,31/03/2024,"38,67%","18,72%","48,26%","15,87%","1,18","1,45","0,45"
2,31/12/2023,"41,86%","18,59%","47,40%","15,65%","1,19","1,44","0,44"
3,30/09/2023,"48,33%","20,12%","47,78%","16,03%","1,25","1,62","0,62"
4,30/06/2023,"53,49%","21,72%","46,94%","15,54%","1,40","1,85","0,85"
5,31/03/2023,"53,78%","20,54%","45,86%","14,62%","1,40","2,07","1,07"
6,31/12/2022,"45,16%","17,77%","44,98%","12,86%","1,38","2,25","1,25"
7,30/09/2022,"59,05%","20,83%","44,76%","15,52%","1,34","2,40","1,40"
8,30/06/2022,"54,51%","19,36%","45,10%","15,22%","1,27","2,46","1,46"
9,31/03/2022,"34,34%","12,30%","46,13%","12,21%","1,01","2,62","1,62"
10,31/12/2021,"28,23%","9,76%","46,89%","11,45%","0,85","2,54","1,54"
11,30/09/2021,"15,04%","5,12%","46,35%","6,67%","0,77","2,84","1,84"
12,30/06/2021,"46,72%","13,81%","45,60%","17,13%","0,81","2,82","1,82"
13,31/03/2021,"18,59%","6,13%","44,54%","10,53%","0,58","2,79","1,79"
14,31/12/2020,"29,63%","9,05%","45,00%","14,06%","0,64","2,89","1,89"
15,30/09/2020,"35,36%","10,19%","45,37%","16,55%","0,62","2,94","1,94"
16,30/06/2020,"5,54%","1,09%","44,89%","1,33%","0,82","3,38","2,38"
17,31/03/2020,"63,43%","10,94%","45,05%","10,95%","1,00","3,03","2,03"
18,31/12/2019,"83,01%","9,40%","44,06%","9,19%","1,02","3,27","2,27"
19,30/09/2019,"96,02%","7,79%","42,90%","7,25%","1,07","3,47","2,47"
20,30/06/2019,"132,40%","8,47%","42,14%","7,61%","1,11","5,08","4,08"
21,31/03/2019,"150,02%","7,37%","41,22%","6,85%","1,08","5,80","4,80"
22,31/12/2018,"238,89%","7,51%","40,81%","6,72%","1,12","8,83","7,83"
23,30/09/2018,"-145,83%","27,18%","40,21%","25,56%","1,06","12,33","11,33"
24,30/06/2018,"-136,12%","23,35%","39,76%","22,44%","1,04","15,63","14,63"
25,31/03/2018,"-135,64%","19,81%","39,25%","18,60%","1,07","20,36","19,36"
26,31/12/2017,"-123,81%","19,97%","39,55%","17,24%","1,16","31,82","30,82"
27,30/09/2017,"136,10%","-10,28%","40,44%","-9,56%","1,08","-5,37","-6,37"
28,30/06/2017,"120,61%","-9,06%","40,49%","-8,09%","1,12","-5,83","-6,83"
29,31/03/2017,"127,61%","-7,70%","39,61%","-7,06%","1,09","-6,85","-7,85"
30,31/12/2016,"-4.717,26%","-12,46%","38,03%","-12,07%","1,03","-6,20","-7,20"
31,30/09/2016,"-307,66%","-5,74%","36,96%","-6,24%","0,92","-13,24","-14,24"
32,30/06/2016,"-159,29%","-13,13%","36,98%","-13,17%","1,00","-13,31","-14,31"
33,31/03/2016,"-121,91%","-14,65%","37,64%","-14,90%","0,98","-16,58","-17,58"
34,31/12/2015,"-92,06%","-10,34%","40,41%","-9,83%","1,05","378,44","377,44"
35,30/09/2015,"-89,37%","-11,81%","41,71%","-10,29%","1,15","53,60","52,60"
36,30/06/2015,"44,01%","2,45%","42,58%","2,19%","1,12","12,13","11,13"
37,31/03/2015,"89,47%","5,76%","44,10%","5,32%","1,08","8,32","7,32"
38,31/12/2014,"79,71%","5,24%","43,45%","4,98%","1,05","8,90","7,90"
39,30/09/2014,"67,30%","7,33%","44,34%","7,49%","0,98","7,56","6,56"
40,30/06/2014,"-10,05%","-1,16%","43,48%","-1,17%","0,99","17,95","16,95"
41,31/03/2014,"-11,74%","-1,40%","41,59%","-1,41%","0,99","15,53","14,53"
42,31/12/2013,"0,90%","0,10%","40,82%","0,09%","1,09","15,20","14,20"
43,30/09/2013,"-31,05%","-5,10%","37,23%","-4,45%","1,15","9,18","8,18"
44,30/06/2013,"-25,83%","-4,25%","38,80%","-3,83%","1,11","8,64","7,64"
45,31/03/2013,"-21,89%","-3,70%","40,17%","-3,16%","1,17","8,39","7,39"
46,31/12/2012,"-30,70%","-5,29%","41,10%","-4,51%","1,17","8,94","7,94"
47,30/09/2012,"8,47%","1,58%","44,84%","1,17%","1,34","6,09","5,09"
48,30/06/2012,"8,59%","1,49%","44,91%","1,12%","1,34","6,07","5,07"
49,31/03/2012,"18,94%","3,29%","44,50%","2,28%","1,44","5,91","4,91"
50,31/12/2011,"18,94%","3,29%","44,50%","2,28%","1,44","5,91","4,91"
51,30/09/2011,"9,71%","1,74%","41,79%","1,30%","1,34","5,37","4,37"
52,30/06/2011,"22,45%","3,87%","40,94%","2,82%","1,37","5,75","4,75"
53,31/03/2011,"17,02%","3,09%","41,85%","2,14%","1,45","5,76","4,76"
