,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 978,74 M","- R$ 435,10 M","R$ 258,12 M","R$ 801,76 M"
1,31/03/2024,"R$ 622,97 M","- R$ 417,40 M","- R$ 202,25 M","R$ 3,32 M"
2,31/12/2023,"R$ 863,51 M","- R$ 459,80 M","- R$ 99,54 M","R$ 304,17 M"
3,30/09/2023,"R$ 581,62 M","- R$ 360,13 M","- R$ 179,46 M","R$ 42,03 M"
4,30/06/2023,"R$ 762,75 M","- R$ 364,69 M","- R$ 252,10 M","R$ 145,96 M"
5,31/03/2023,"R$ 655,74 M","- R$ 207,66 M","- R$ 236,43 M","R$ 211,65 M"
6,31/12/2022,"R$ 257,70 M","- R$ 39,95 M","R$ 154,98 M","R$ 372,72 M"
7,30/09/2022,"- R$ 140,93 M","R$ 541,99 M","- R$ 1,34 B","- R$ 171,37 M"
8,30/06/2022,"- R$ 636,26 M","- R$ 205,02 M","- R$ 72,14 M","- R$ 144,34 M"
9,31/03/2022,"- R$ 133,79 M","- R$ 1,03 B","R$ 1,34 B","R$ 173,08 M"
10,31/12/2021,"R$ 105,52 M","- R$ 1,12 B","R$ 1,12 B","R$ 98,90 M"
11,30/09/2021,"R$ 157,47 M","- R$ 931,79 M","R$ 1,20 B","R$ 373,62 M"
12,30/06/2021,"- R$ 106,86 M","- R$ 35,58 M","R$ 208,21 M","R$ 13,15 M"
13,31/03/2021,"R$ 118,50 M","R$ 14,38 M","R$ 304,57 M","R$ 384,82 M"
