,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 121,01 M","- R$ 43,90 M","- R$ 266,75 M","- R$ 189,64 M"
1,31/03/2024,"R$ 107,12 M","- R$ 42,62 M","- R$ 335,65 M","- R$ 271,15 M"
2,31/12/2023,"R$ 271,15 M","- R$ 42,37 M","- R$ 393,83 M","- R$ 165,05 M"
3,30/09/2023,"R$ 293,91 M","- R$ 42,46 M","- R$ 353,16 M","- R$ 101,71 M"
4,30/06/2023,"R$ 408,24 M","- R$ 64,69 M","- R$ 367,63 M","- R$ 24,09 M"
5,31/03/2023,"R$ 377,22 M","- R$ 72,04 M","- R$ 295,92 M","R$ 9,25 M"
6,31/12/2022,"R$ 329,35 M","- R$ 69,28 M","- R$ 265,58 M","- R$ 5,51 M"
7,30/09/2022,"R$ 429,65 M","- R$ 66,93 M","- R$ 90,44 M","R$ 272,27 M"
8,30/06/2022,"R$ 201,17 M","- R$ 34,69 M","R$ 52,46 M","R$ 218,93 M"
9,31/03/2022,"R$ 50,25 M","- R$ 24,10 M","R$ 227,82 M","R$ 253,97 M"
10,31/12/2021,"- R$ 78,37 M","- R$ 22,09 M","R$ 274,11 M","R$ 173,65 M"
11,30/09/2021,"- R$ 182,01 M","- R$ 20,06 M","R$ 233,66 M","R$ 31,59 M"
12,30/06/2021,"- R$ 121,39 M","- R$ 18,80 M","R$ 150,20 M","R$ 10,01 M"
13,31/03/2021,"R$ 75,36 M","- R$ 52,58 M","R$ 33,65 M","R$ 56,44 M"
14,31/12/2020,"R$ 138,51 M","- R$ 54,39 M","R$ 29,84 M","R$ 113,95 M"
15,30/09/2020,"R$ 105,57 M","- R$ 73,49 M","R$ 57,59 M","R$ 89,68 M"
16,30/06/2020,"R$ 148,05 M","- R$ 76,07 M","R$ 69,45 M","R$ 141,43 M"
17,31/03/2020,"R$ 55,94 M","- R$ 36,80 M","R$ 22,94 M","R$ 42,08 M"
18,31/12/2019,"R$ 126,38 M","- R$ 34,01 M","R$ 15,24 M","R$ 107,61 M"
19,30/09/2019,"R$ 67,17 M","- R$ 10,97 M","- R$ 18,64 M","R$ 37,56 M"
20,30/06/2019,"R$ 32,42 M","- R$ 10,41 M","- R$ 28,42 M","- R$ 6,41 M"
21,31/03/2019,"R$ 79,80 M","- R$ 10,47 M","- R$ 14,88 M","R$ 54,45 M"
22,31/12/2018,"R$ 14,80 M","- R$ 10,35 M","- R$ 9,46 M","- R$ 5,00 M"
23,30/09/2018,"R$ 36,60 M","- R$ 11,89 M","- R$ 32,73 M","- R$ 8,02 M"
24,30/06/2018,"R$ 50,36 M","- R$ 12,92 M","- R$ 41,70 M","- R$ 4,26 M"
25,31/03/2018,"R$ 46,66 M","- R$ 13,00 M","- R$ 42,91 M","- R$ 9,25 M"
26,31/12/2017,"R$ 27,16 M","- R$ 15,45 M","- R$ 29,41 M","- R$ 17,69 M"
27,30/09/2017,"R$ 32,78 M","- R$ 13,70 M","- R$ 13,08 M","R$ 6,00 M"
28,30/06/2017,"R$ 24,63 M","- R$ 16,01 M","R$ 15,99 M","R$ 24,61 M"
29,31/03/2017,"R$ 21,02 M","- R$ 17,70 M","- R$ 847,00 mil","R$ 2,47 M"
30,31/12/2016,"R$ 60,61 M","- R$ 19,75 M","- R$ 15,92 M","R$ 24,94 M"
31,30/09/2016,"R$ 62,52 M","- R$ 34,69 M","- R$ 9,33 M","R$ 18,49 M"
32,30/06/2016,"R$ 82,13 M","- R$ 33,98 M","- R$ 23,74 M","R$ 24,42 M"
33,31/03/2016,"R$ 101,03 M","- R$ 31,53 M","- R$ 27,83 M","R$ 41,67 M"
34,31/12/2015,"R$ 63,00 M","- R$ 32,38 M","- R$ 2,63 M","R$ 27,99 M"
35,30/09/2015,"R$ 85,39 M","- R$ 18,37 M","- R$ 5,44 M","R$ 61,58 M"
36,30/06/2015,"R$ 67,86 M","- R$ 18,93 M","- R$ 5,17 M","R$ 43,77 M"
